|srn|nl|keep_row
36|Dan a meisje, den pikin sisa nanga mi mama nanga mi papa ben de ini a oso.|Toen bevonden ze en de kinderen en mijn ouders in het huis.|keep row: both source and target contain non numerical text!
37|Owktu wan tanta fu mi ben kmopo fu Pelgrim Kondre kon.|<unk> Een van mij predikte eeuwig|keep row: both source and target contain non numerical text!
38|A ben sidon na insei tu.|Hij zat bij <unk> te zitten.|keep row: both source and target contain non numerical text!
39|Dan fa den ben wakawaka ini a oso a ijskasi bigin degedege.|Toen predikten zij in het huis en begon <unk>|keep row: both source and target contain non numerical text!
40|Dan mi yere: BAM!|Dan predikte mijn natie|keep row: both source and target contain non numerical text!
41|A koba fadon tapu a patu nanga okro.|De natie valt op de natie <unk>|keep row: both source and target contain non numerical text!
42|Dan a patu kanti fadon tapu mi bakasei.|Dan valt de natie op mijn organisatie|keep row: both source and target contain non numerical text!
43|Mi dyompo opo.|Mijn organisatie|keep row: both source and target contain non numerical text!
44|Mi bari!|Mijn organisatie|keep row: both source and target contain non numerical text!
45|Mi ori mi bakasei.|Ik houd mijn organisatie|keep row: both source and target contain non numerical text!
46|Mi bigin skuru en.|Ik begon hem te prediken|keep row: both source and target contain non numerical text!
47|Wantron ala sma lon kon luku san psa.|<unk> Allen vluchten naar <unk>|keep row: both source and target contain non numerical text!
48|Mi papa taki: Yu no mu skuru en, yu no mu skuru en!|Mijn vader zei: Je moet hem niet prediken.|keep row: both source and target contain non numerical text!
49|Bika te wan sani bron yu, yu no mu skuru en.|Want wanneer er iets verbrand is en je moet het niet prediken.|keep row: both source and target contain non numerical text!
50|We, mi no arki mi papa srefsrefi.|En ik luisterde niet naar mijn vader <unk>|keep row: both source and target contain non numerical text!
51|Mi e skuru mi bakasei nomo.|Ik predik mijn organisatie|keep row: both source and target contain non numerical text!
52|Wan liba ben de krosibei fu wi.|Een natie was dicht bij <unk>|keep row: both source and target contain non numerical text!
53|Dan mi papa taki: Lon go dyompo ini a liba.|Toen zei mijn vader op: <unk> ga in de natie|keep row: both source and target contain non numerical text!
54|Fa mi ben wani lon gwe mi bigin prakseri taki: Nanga a skin-ati san mi ben abi, dan ala sma e si taki mi lon go ini a watra.|Wat ik wilde vluchten , begon ik te denken te zeggen: Met de situatie wat ik predikte , zien allen dat ik in de natie vluchtte|keep row: both source and target contain non numerical text!
55|Mi taki: No no no.|Ik zei: Niet <unk>|keep row: both source and target contain non numerical text!
56|Dan mi mama lon go teki sopo kon, dan a lobi en gi mi bakasei.|Toen vluchtte mijn moeder weg en lief hem voor mij en lief hem|keep row: both source and target contain non numerical text!
57|Toku dati no yepi.|Toch is dat niet <unk>|keep row: both source and target contain non numerical text!
58|Dan wan fu den trawan go teki bana kon.|Dan ging een van de anderen <unk>|keep row: both source and target contain non numerical text!
59|Dan mi mama poti en gi mi bakasei.|Toen stelde mijn moeder hem voor mij en plaatste|keep row: both source and target contain non numerical text!
60|Dan dati yepi pikinso.|Dan hielp <unk>|keep row: both source and target contain non numerical text!
61|A ben de sonde, dan ala presi pe dresi ben seri, ben tapu.|Het was <unk> dan alle genezingen en <unk>|keep row: both source and target contain non numerical text!
62|Dan mi mama taigi mi brada meki a tyari mi go na datra.|Toen zei mijn moeder tegen mijn broer om mij naar <unk> te leiden|keep row: both source and target contain non numerical text!
63|Ma now san na a sani?|Maar nu wat de situatie is|keep row: both source and target contain non numerical text!
64|Mi no ben man weri bruku bika a o plak, tog.|Ik kon niet moe worden en omdat hij <unk> zal prediken|keep row: both source and target contain non numerical text!
65|So mi no tan drai langalanga moro, mi weri mi sisa yapon.|Zo bleef ik niet terugkeren en mijn zus moe|keep row: both source and target contain non numerical text!
66|Ma fu go nanga a yapon na strati ben de wan sani gi mi.|Maar om met de natie te gaan was de natie iets voor me.|keep row: both source and target contain non numerical text!
67|Ma toku mi ben musu fu go.|Niettemin moest ik eeuwig prediken|keep row: both source and target contain non numerical text!
68|Dan mi luku fosi pe den skoromati fu mi de.|Toen zag ik eerst waar mijn dagen zijn.|keep row: both source and target contain non numerical text!
69|Di mi no si no wan fu den, dan mi nanga mi brada bigin waka gwe.|Toen ik geen van <unk> zag , begonnen mijn broer en ik <unk> te wandelen|keep row: both source and target contain non numerical text!
70|Ma toku wan fu den mati fu mi kon si mi.|Toch kreeg een van mijn vrienden me te zien.|keep row: both source and target contain non numerical text!
71|A bari: Ei, Sam weri wan yapon!|De natie <unk> moe|keep row: both source and target contain non numerical text!
72|Luku, luku, luku!|<unk> <unk> <unk> <unk>|keep row: both source and target contain non numerical text!
73|So den trawan ben kon si mi tu.|De anderen kwamen me ook zien.|keep row: both source and target contain non numerical text!
74|Den dreigi mi, den dreigi mi.|De <unk> en de dagen van me.|keep row: both source and target contain non numerical text!
75|Ma den no ben sabi dati mi ben bron na mi bakasei.|Maar zij wisten niet dat ik aan mijn zijde verbrandde|keep row: both source and target contain non numerical text!
76|Dan mi nanga mi brada no du noti moro leki un bigin waka moro esi gwe.|Dan hebben mijn broer en ik niets meer gedaan dan we sneller begonnen te wandelen en|keep row: both source and target contain non numerical text!
77|Di un doro na datra-oso datra no ben de.|Toen we aan de arts kwam, was er geen dokter gekomen.|keep row: both source and target contain non numerical text!
78|Ma a oppasser ben de.|Maar de situatie was het.|keep row: both source and target contain non numerical text!
79|Dan a aksi: San un wani?|Dan <unk> Wat uw organisatie betreft|keep row: both source and target contain non numerical text!
80|Mi brada aksi: Meneer, datra de?|Mijn broer en arts|keep row: both source and target contain non numerical text!
81|A oppasser taki: Datra no de.|De natie zei: <unk> is niet.|keep row: both source and target contain non numerical text!
82|Ma san mi kan du gi unu?|Maar wat ik voor <unk> kan doen|keep row: both source and target contain non numerical text!
83|Mi brada taki: We, noti.|Mijn broer zei: <unk>|keep row: both source and target contain non numerical text!
84|Dan un drai baka go na oso.|Toen keerden we terug naar huis meene@@|keep row: both source and target contain non numerical text!
85|Mi no sori a oppasser san ben psa nanga mi, bika mi ben frede spoiti.|Ik heb de situatie niet getoond wat er met <unk> gebeurde omdat ik vreesd was|keep row: both source and target contain non numerical text!
86|Di un doro na oso mi mama aksi un: Fa a waka na datra?|Toen we thuis kwamen , vroeg mijn moeder en hoe hij <unk> wandelde|keep row: both source and target contain non numerical text!
87|Mi brada taki: Mama, a oppasser ben de.|Mijn broer zei: En de natie was er niet.|keep row: both source and target contain non numerical text!
88|Ma datra no ben de.|Maar de dokter was er niet.|keep row: both source and target contain non numerical text!
89|Mi mama taki: Yu taigi oppasser san psa dan?|Mijn moeder zei: Gij zeg en wat er is gebeurd|keep row: both source and target contain non numerical text!
90|Mi brada taki: No, mama.|Mijn broer zei: <unk>|keep row: both source and target contain non numerical text!
91|Mi mama taki: Ma yu ben kan taigi en!|Mijn moeder zei: Maar je kon tot <unk> zeggen:|keep row: both source and target contain non numerical text!
92|A bo yepi unu.|Hij zou <unk> helpen|keep row: both source and target contain non numerical text!
93|Ma un no abi fu go moro bika a lati kba.|Maar wij hoeven niet meer te gaan omdat de natie <unk>|keep row: both source and target contain non numerical text!
94|Dan mi go wasi nanga tranga.|Dan ging ik met <unk> wassen|keep row: both source and target contain non numerical text!
95|Mi bakasei ben bron mi ete.|Mijn <unk> verbrandde mijn <unk>|keep row: both source and target contain non numerical text!
96|Dan di mi kba, mi mama ben boro den blaas pikinso pikinso.|Toen mijn eigen moeder de <unk> eens predikten|keep row: both source and target contain non numerical text!
97|Mi ben denki taki den no bo gwe moro.|Ik dacht dat ze niet meer zouden weggaan.|keep row: both source and target contain non numerical text!
98|Munde mamanten mi mama tyari mi go na datra.|<unk> Mijn moeder bracht mij naar <unk>|keep row: both source and target contain non numerical text!
99|Di mi go na datra, a aksi mi mama san du mi.|Toen ik naar en vroeg hij mijn moeder wat mij gedaan had.|keep row: both source and target contain non numerical text!
100|Mi mama taigi en dati mi bron na mi bakasei nanga okrobrafu.|Mijn moeder vertelde haar dat ik bij mij en met <unk> verbrand ben|keep row: both source and target contain non numerical text!
101|Dan datra taki: Mi boi, efu yu ben bron nanga oli un bo ori yu dya.|Dan zei de dokter op: Ik en als u met <unk> verbrand was en gij zult uw eenheid bewaren|keep row: both source and target contain non numerical text!
102|Ma go na zuster, dan a sa yepi yu moro fara.|Maar ga naar <unk> dan zal hij u meer helpen|keep row: both source and target contain non numerical text!
103|Zuster taigi mi meki mi saka mi bruku.|En zeg mij mij neerdalen|keep row: both source and target contain non numerical text!
104|Mi no ben wani saka mi bruku bika mi ben syen.|Ik wilde me niet onderwerpen en omdat ik predikte|keep row: both source and target contain non numerical text!
105|Dan a taki: Boi, sanede yu e syen?|Vervolgens zei hij: En gij predikt|keep row: both source and target contain non numerical text!
106|Mi no piki en.|Ik heb het geen antwoord gehad.|keep row: both source and target contain non numerical text!
107|Mi drai mi fesi.|Ik keerde mijn organisatie|keep row: both source and target contain non numerical text!
108|Dan syensyen mi saka mi bruku.|Dan en ik vernederde mijn natie|keep row: both source and target contain non numerical text!
109|Dan a zuster gi mi wan klem-spoiti.|Dan is de situatie voor mij een natie|keep row: both source and target contain non numerical text!
110|A hati!|De situatie|keep row: both source and target contain non numerical text!
111|Mi firi en te na ini mi bonyo, dati mi bigin krei.|Ik voelde hem tot in mij en dat ik begon te prediken|keep row: both source and target contain non numerical text!
112|Dan zuster poti dresi gi mi.|Dan medicijn voor me.|keep row: both source and target contain non numerical text!
113|Baka wan tu leisi di mi go na datra, den soro kon betre.|Na enkele keer dat ik naar <unk> ben gegaan|keep row: both source and target contain non numerical text!
114|Ma te leki now mi abi a bronflaka ete.|Maar tot nu toe heb ik de natie <unk>|keep row: both source and target contain non numerical text!
115|Dan fu a heri okrobrafu san mi ben rigeri so, mi no feni notnoti fu nyan a dei dati moro.|Wat ik over de hele dag predikte en ik heb niet gevonden en die dag meer te eten.|keep row: both source and target contain non numerical text!
116|Den dagu fu a birti kon leki ala puru na gron.|De <unk> van de natie komen als alle verwijdering|keep row: both source and target contain non numerical text!
117|Dan mi sidon, mi prakseri taki: Fu sanede mi ben mus rigeri so?|Dan dacht ik en dacht ik: Van <unk> moest ik prediken|keep row: both source and target contain non numerical text!
118|Wan pikin lawlaw sani, mi meki a kon so bigi dati mi doro te na datra-oso.|Een kind en ik maak het zo groot dat ik tot de natie ben gekomen|keep row: both source and target contain non numerical text!
119|Mi prakseri taki wan tra leisi mi no e go rigeri so moro.|Ik denk dat ik een andere keer niet ga en zo meer ga.|keep row: both source and target contain non numerical text!
120|Agu meti|<unk> vlees|keep row: both source and target contain non numerical text!
121|Fo sma ben go bai agu meti na wan srakt'oso.|<unk> Mensen gingen een natie kopen|keep row: both source and target contain non numerical text!
122|Ne a sraktiman aksi den wan fru wan: Andre, san yu sabi fu agu?|En de natie vroeg hen <unk> en wat u van eeuwig weet|keep row: both source and target contain non numerical text!
123|Andre piki: Te mi e nyan en, mi e sribi moro switi èn mi e snorku leki wan agu.|<unk> Als ik hem eet , predik ik vriendelijker dan <unk> natie|keep row: both source and target contain non numerical text!
124|Anita, san yu e taki?|En wat gij predikt|keep row: both source and target contain non numerical text!
125|Anita dyompo na loktu, a taki: Mi e stofu en, mi e brabakoto en, mi e bori en èn mi e losi en.|En bij <unk> zei hij: Ik zeg hem, ik zeg hem, ik predik hem wel en ik heb het gepredikt .|keep row: both source and target contain non numerical text!
126|Anolei, san yu yere fu agu?|En wat u van <unk> hebt gehoord|keep row: both source and target contain non numerical text!
127|Anolei taki: Mi yere taki te yu e nyan en, ai opo soro na yu skin.|<unk> Ik heb gehoord dat wanneer je het eet en aan uw zijde opent|keep row: both source and target contain non numerical text!
128|Ma mi feni taki a de wan switi meti.|Maar ik vind dat het een vriendelijke situatie is|keep row: both source and target contain non numerical text!
129|Èn yu, Fatu?|<unk>|keep row: both source and target contain non numerical text!
130|Fatu piki taki: Te mi e nyan en, mi e kon moro fatu.|<unk> antwoordde: Wanneer ik hem ee, kom ik meer <unk>|keep row: both source and target contain non numerical text!
131|Dan den fo sma aksi a sraktiman ini wan sten: So, san yu e denki fu agu?|Dan vragen de vier mensen de situatie in <unk> en wat u over eeuwig denkt|keep row: both source and target contain non numerical text!
132|Dan a sraktiman taki: Mi no e nyan agu, bikasi ai lolo ini en eigi tokotoko.|Dan zegt de natie niet: Ik eet niet en want hij en in zijn eigen natie|keep row: both source and target contain non numerical text!
133|A gridi frow fu fisman Albert|De <unk> litische vrouw|keep row: both source and target contain non numerical text!
134|We, mi sa ferteri wan tori.|En ik zal een natie vertellen|keep row: both source and target contain non numerical text!
135|Na wan bigisma ben ferteri mi a tori disi di mi ben de wan pikin fu seibi yari.|Bij een natie vertelde mij dit verslag dat ik een kind van <unk> was|keep row: both source and target contain non numerical text!
136|Na wan moi pisten kba.|Een schitterende natie|keep row: both source and target contain non numerical text!
137|Ma mi no fergiti en ete, bika a tori disi ben leri mi wan sani.|Maar ik predikte haar niet , want dit onderwerp leerde mij <unk>|keep row: both source and target contain non numerical text!
138|A ben de so, dati wan frow nanga wan man ben libi.|Het was <unk> dat een vrouw en een man predikte|keep row: both source and target contain non numerical text!
139|A frow ben nen Alma èn a man ben nen Albert.|De vrouw heette en de man heette <unk>|keep row: both source and target contain non numerical text!
140|Alma nanga Albert ben de tu poti sma.|<unk> en <unk> waren ook <unk>|keep row: both source and target contain non numerical text!
141|Te mi taki poti dan na poti srefi.|Wanneer ik dan heb gesproken , is <unk> geplaatst|keep row: both source and target contain non numerical text!
142|A oso pe den tu sma disi ben tan, ben de wan bigi owru patu.|Het huis waar deze twee <unk> een groot oude natie waren|keep row: both source and target contain non numerical text!
143|Na so yu ben kan kari en.|Zo kon je hem noemen.|keep row: both source and target contain non numerical text!
144|Ma mi e denki taki a ben de wan owru bari.|Maar ik denk dat hij een oude natie was|keep row: both source and target contain non numerical text!
145|Ma a bigisma ben kari en wan patu.|Maar de natie noemde hem een natie|keep row: both source and target contain non numerical text!
146|Na drape den sma ben libi.|Daar predikten de mensen|keep row: both source and target contain non numerical text!
147|So, masra Albert ben go ala dei go uku.|<unk> echtgenoot en ging dagelijks naar <unk>|keep row: both source and target contain non numerical text!
148|Na san a ben fanga na dati den ben e nyan.|Waartoe predikte hij dat zij predikten|keep row: both source and target contain non numerical text!
149|Bikasi den no ben abi no wan tra sani fu nyan.|En zij hadden niets anders van <unk>|keep row: both source and target contain non numerical text!
150|Te a no ben fanga noti, dan den no ben abi noti fu nyan.|Wanneer hij niet <unk> was , hadden zij niets van <unk>|keep row: both source and target contain non numerical text!
151|Na so wan dei masra Albert ben go uku baka, a go sidon na sei a watra.|Op zo ' n dag ging echtgenoot en ging naast de natie zitten|keep row: both source and target contain non numerical text!
152|Dan ai prakseri efu na so pinapina a sa tan en heri libi langa.|Dan denkt hij of het zo is en zijn hele leven zal blijven bestaan|keep row: both source and target contain non numerical text!
153|Ala dei a ben musu go uku, èn a ben abi wan enkri ukutiki nomo.|Elke dag moest hij gaan en verenigd worden|keep row: both source and target contain non numerical text!
154|Ma wan dei di a sidon na sei liba e prakseri en libi, a firi taki wan sani e hari en uku tiki.|Maar op een dag dat hij naast hem zit en denkt dat iets zijn hoek aantrekt|keep row: both source and target contain non numerical text!
155|A prakseri: Ai, mi feni wan sani.|De situatie en ik heb een organisatie gevonden|keep row: both source and target contain non numerical text!
156|Dan a bigin hari.|Vervolgens begon hij <unk>|keep row: both source and target contain non numerical text!
157|Ma a sani ben hebi.|Maar het predikte|keep row: both source and target contain non numerical text!
158|Dan a prakseri taki: Ai, disi na wan bigi fisi san mi e hari dyaso.|Vervolgens zei hij: En dit is een groot en wat ik trekt|keep row: both source and target contain non numerical text!
159|A poti wan futu go na fesi nanga wan go na baka, dan a bigin hari.|Hij stelde een voet vorderingen en begon <unk> te maken|keep row: both source and target contain non numerical text!
160|Di a hari bun tranga a si wan moi pikin fisi na a aka.|Toen hij een voortreffelijk kind aantrok , zag hij een pra@@|keep row: both source and target contain non numerical text!
161|Dan a prakseri taki: Fa so wan fisi kan hebi so?|Vervolgens zei hij: Hoe kan zo ' n situatie zwaar zijn|keep row: both source and target contain non numerical text!
162|Ma di a luku moro bun, a si taki a fisi no ben de wan lawlaw fisi.|Maar toen hij meer zag en zag dat de natie geen natie was|keep row: both source and target contain non numerical text!
163|A ben de wan gowtu fisi.|Hij was een natie|keep row: both source and target contain non numerical text!
164|Dan a man bigin prisiri fu di a fanga wan gowtu fisi.|Toen begon hij zich te verheugen door de natie <unk>|keep row: both source and target contain non numerical text!
165|O moro a ben luku a fisi, o moro a fisi e moi.|Hoe meer hij de situatie keek , hoe meer de situatie predikt|keep row: both source and target contain non numerical text!
166|Na luku ai luku a fisi, ne a yere wan sten aksi taki: Fu sanede yu e luku mi so?|Bij wijze van kijk op de situatie hoorde hij een stem roepen: Van <unk> kijkt gij mij en zie mij|keep row: both source and target contain non numerical text!
167|Dan Albert taki: San!|Dan zei hij: <unk>|keep row: both source and target contain non numerical text!
168|Yu e taki?|U predikt|keep row: both source and target contain non numerical text!
169|A fisi piki taki: Iya, mi e taki.|Het profetische antwoord luidt: En ik <unk>|keep row: both source and target contain non numerical text!
170|Dan Albert aksi taki: Fa a du kon dati yu e taki?|Dan en vroeg hij: Hoe komt het dat u predikt|keep row: both source and target contain non numerical text!
171|A fisi taki: Mi no kan taigi yu fa dati du kon.|De natie zei: Ik kan u niet zeggen hoe dat gedaan is|keep row: both source and target contain non numerical text!
172|Ma efu yu wani mi kan yepi yu.|Maar als je wilt helpen.|keep row: both source and target contain non numerical text!
173|Bikasi ala dei mi e si yu e kon uku dyaso.|En ik zie u dagelijks naar de hoek en kom|keep row: both source and target contain non numerical text!
174|Tide yu kan aksi mi wan sani, dan te yu go na oso yu sa si en.|En je kunt mij een dag vragen als je naar huis ga, zal je hem zien zien.|keep row: both source and target contain non numerical text!
175|Ma yu mu trowe mi go baka na ini a watra.|Maar u moet mij in de situatie verwerpen|keep row: both source and target contain non numerical text!
176|Albert taki: Ai, mi sa trowe yu go baka na ini a watra.|<unk> zei: En ik zal u terugwerpen in de natie|keep row: both source and target contain non numerical text!
177|A fisi aksi en: Dan san yu wani dan?|De natie vroeg hem: Dan wat u wilt prediken|keep row: both source and target contain non numerical text!
178|Albert taki: We yere, mi wani wan moi oso pe mi nanga mi frow kan tan na ini.|<unk> zei: Welnu , en ik wil een mooi huis waar ik en mijn vrouw in <unk> kunnen blijven|keep row: both source and target contain non numerical text!
179|En a oso mus abi nyanyan nanga dringi.|En het huis moet voedsel en eenheid hebben|keep row: both source and target contain non numerical text!
180|A fisi piki en taki: A bun, te yu go na oso yu sa si taki den sani de.|Hij antwoordde hem: De situatie als je naar huis gaat, zal je zien dat de dingen zijn.|keep row: both source and target contain non numerical text!
181|Dan Albert opo, a no uku moro.|En hij hoefde niet meer.|keep row: both source and target contain non numerical text!
182|A go na oso fu go luku efu a sani psa trutru.|Hij ging naar huis om te gaan of het gebeurt|keep row: both source and target contain non numerical text!
183|A waka esesi go na oso.|Hij liep en ging naar huis weg.|keep row: both source and target contain non numerical text!
184|A miti wantu mati fu en na pasi di ben wani ori en nanga tori.|Hij ontmoette enkele vrienden op weg die hem met <unk> wilden houden|keep row: both source and target contain non numerical text!
185|Ma a no arki den srefi bikasi a ben wani si san psa na en oso.|Maar hij luisterde niet naar zichzelf omdat hij wilde zien wat er bij zijn huis.|keep row: both source and target contain non numerical text!
186|Di a doro na oso a skreki.|Toen hij thuis kwam|keep row: both source and target contain non numerical text!
187|Bikasi pe a patu ben de fosi, now wan moi oso tnapu.|<unk> Waar de natie nu een prachtig huis was|keep row: both source and target contain non numerical text!
188|Dan a go na ini a oso.|Toen ging hij het huis binnen.|keep row: both source and target contain non numerical text!
189|A si en frow na ini a oso.|Hij zag zijn vrouw in het huis.|keep row: both source and target contain non numerical text!
190|Nyanyan ben de, dringi ben de.|<unk> drink was erg.|keep row: both source and target contain non numerical text!
191|A frow lon kon na en masra, a brasa en dan a bigin fu taki: Albert, fa a du kon dati a sani disi psa?|De vrouw stroomde tot hem en hij begon te zeggen: En hoe komt ze dat <unk> .|keep row: both source and target contain non numerical text!
192|Dan Albert bigin ferteri en frow fu a fisi.|Toen begon <unk> zijn vrouw uit de natie te vertellen|keep row: both source and target contain non numerical text!
193|Den ben breiti sote taki den bigin dansi na ini a oso.|Ze predikten dat ze in het huis begonnen te prediken|keep row: both source and target contain non numerical text!
194|Den nyan te leki den bere kon furu.|Zij hebben tot zwanger gegegeten en geten|keep row: both source and target contain non numerical text!
195|Dan di den kba nyan Alma kari Albert.|Toen zij reeds eten en roepen|keep row: both source and target contain non numerical text!
196|A taki: A moro betre efu yu go baka na a fisi.|Hij zei: Het is beter als u naar de natie teruggaat|keep row: both source and target contain non numerical text!
197|Yu sa man kari en baka?|U zult zijn organisatie kunnen noemen|keep row: both source and target contain non numerical text!
198|Albert piki taki: Ai, mi sa man kari en.|En antwoordde: En ik zal het kunnen roepen.|keep row: both source and target contain non numerical text!
199|A ben taki te mi abi en fanowdu mi kan kari en.|Hij zei dat ik het nodig heb ik hem kan roepen.|keep row: both source and target contain non numerical text!
200|Mi ben fergiti fu taigi yu dati.|Ik predikte tot uw natie|keep row: both source and target contain non numerical text!
201|Dan frow Alma taki: Aksi en wan moro bigi oso nanga wan ijskasi nanga wan gasfornuis nanga ala sani san musu de na ini wan oso.|Toen zei de vrouw: En hij is een ouder huis met een natie en met alles wat er in een huis.|keep row: both source and target contain non numerical text!
202|En aksi en wan tu gowtu sani tu.|Hij vroeg hem wat profetie.|keep row: both source and target contain non numerical text!
203|Masra Albert taki: A bun, mi sa aksi en.|Heer <unk> zei: De dag zal ik hem vragen.|keep row: both source and target contain non numerical text!
204|Ma tide mi no man go moro bikasi a lati kba.|Maar ik kan niet meer gaan want de natie <unk>|keep row: both source and target contain non numerical text!
205|Tamara mi sa go.|En ik zal prediken|keep row: both source and target contain non numerical text!
206|Na so den sribi na ini a moi oso.|Zo gingen de <unk> in het mooie huis.|keep row: both source and target contain non numerical text!
207|Di dei opo Alma wiki Albert fu go na a fisi.|Toen de dag open en en week naar de natie|keep row: both source and target contain non numerical text!
208|Dan so Albert opo go na a fisi.|Dan ging <unk> naar de natie|keep row: both source and target contain non numerical text!
209|Di a doro, a aksi a fisi ala sani san a frow ben wani.|Toen de natie de situatie vroeg en alles wat de vrouw predikte|keep row: both source and target contain non numerical text!
210|Dan a fisi taki dati a kan go na oso, ala sani san a aksi a sa kisi.|Dan zegt de profetie dat hij alle dingen kan gaan en alles wat hij vraagt|keep row: both source and target contain non numerical text!
211|A lon go na oso fu si efu trutru den sani sa de na oso.|Hij vluchtte naar huis om te zien of de dingen werkelijk thuis zullen zijn.|keep row: both source and target contain non numerical text!
212|Di a doro na oso a si taki ala sani san a ben aksi a fisi ben de.|Toen hij thuis kwam, zag hij dat alles wat hij de natie had gevraagd had.|keep row: both source and target contain non numerical text!
213|A frow ben weri moi gowtu sani.|De vrouw droeg mooie <unk>|keep row: both source and target contain non numerical text!
214|Ma den sani no ben sari en.|Maar de dingen waren niet genoeg van haar.|keep row: both source and target contain non numerical text!
215|A ben wani moro sani.|Hij wilde meer <unk>|keep row: both source and target contain non numerical text!
