|nl|srn
3208|In plaats van te zitten, begin liever met werken.|Prefu yu sidon, betre yu bigin wroko.
1424|Het kind is in de buik van de moeder.|A pikin de na ini en mama bere.
358|Ik ging op de plank staan en mijn zus bleef aan de kant staan.|Na so mi go tnapu a tapu a planga, mi sisa go tnapu a sei a kriki.
2932|Hij werkt dag en nacht.|A e teki neti meki dei.
299|Daarna maakte je de oven schoon door de as in houten vaten te doen.|Den ben abi wan bigi onfu pe den e losi brede.
802|Terwijl ze hun laatste stuk bana aten piekerde Mama Akoeba en hij hierover.|En nanga Ma Akuba sidon prakseri sote di den ben kaw den laste pisi bana.
1545|De moeder was zo blij dat ze hem een omhelzing gaf.|A mama ben breiti sote dat a gi en wan brasa.
4042|Het werk vermoeit me.|A wroko e weri skin.
1362|De leden van deze gemeente spotten niet met hun geloof.|Den bakaman fu a kerki disi no e meki spotu nanga den bribi.
3804|Tel hoeveel eieren er in de mand zitten.|Teri omeni eksi de ini a manki.
415|Zo gebeurde het eens op Goede Vrijdag dat iedereen naar de kerk was gegaan.|A ben de so tapu wan Bun Freida ala sma ben go na kerki.
3861|Zundapp bromfietsen zijn sterk hoor. Kijk hoe lang ik die van mij heb.|Den Zundapp brom na tranga brom yere. Luku omeni langa mi abi di fu mi.
1064|Waarom observeer je me.|San y'e waki mi.
2656|Je moet respect hebben voor je moeder en vader.|Yu mu abi lespeki gi yu mama nanga yu papa.
1558|Toen Herman aankwam was hij buiten adem omdat honden hem achterna hadden gezeten.|Di Herman doro en bro ben de na tapu fu di dagu ben lon na en baka.
2579|Mijn oom is volbloed indiaan.|Mi omu na wan lala ingi.
3560|Een spaanse boot is gekomen.|Wan Spanyoro boto kon.
3167|Je moet de sinaasappels niet laten bederven.|Yu no mu libi den apresina te den pori.
4070|Deze man is landbouwer.|A man disi e wroko gron.
3121|Sommige mensen houden ervan om kinderen in hun wang te knijpen als ze met hen spelen.|Son sma lobi pingi pikin-nengre na den seifesi te den e prei nanga den.
2840|Wanneer de ouderen praten, moeten de kinderen zwijgen.|Te bigisma e taki, pikin-nengre no mus seki den mofo.
1334|Ga je spullen halen en kom bij me logeren.|Go teki den bagasi fu yu kon, dan yu kon tan nanga mi.
718|Hoe kunnen wij een dode in ons midden hebben?|Fa un kan abi so wan dede sma na un mindri?
1210|Gisteren ben ik aan de overkant gaan wandelen.|Esde mi go koiri na abrasei.
2464|De CD zit vol krassen, daarom draait hij niet goed.|A CD lai krab'krabu, dat' meki a no e drai bun.
58|Alles wat u aan de advocaat vertelt is vertrouwelijk.|A afkati no mag ferteri tra sma ala sani san yu e taigi en.
76|Dit kan ervoor zorgen dat de procedure sneller gaat.|A sani disi kan meki taki a waka o go moro hesi.
368|Er was gelukkig niets met mij gebeurd.|Noti no ben psa nanga mi.
3690|God moet ons met onze zwakheden helpen.|Gado mu yepi wi nanga den swakifasi fu wi.
1163|Ik neem hem mee, want ik heb niets anders mee om hem aan te trekken.|Mi sa tyari en gwe, bika mi no tyari noti kon weri gi en.
3306|De chauffeur liet me bij de brug uitstappen.|A syèf saka mi na a broki.
2045|Je moet nu ophouden om over de dingen van vroeger te spreken.|Yu mu kba now fu taki fu den sani fu fosten.
2407|Toen ik buiten met mijn vriend stond te praten, zag ik plotseling mijn vader op de hoek aankomen.|Di mi ben tnapu na dorosei e taki nanga mi mati, ne mi si mi p'pa e broko kon tapu a uku.
3565|Men zet specerijen in het eten om het een lekkere smaak te geven.|Yu e poti spesrei ini a nyanyan fu gi en wan switi tesi.
811|Ik heb een idee.|Mi feni en.
3346|Wie is in mijn klerenkast gaan rommelen?|Suma go sasi ini mi kros'kasi?
3850|Grootmoeder vertelde de kinderen verhaaltjes van vroeger.|Granmama gi den pikin tori fa a ben de fosten.
3295|Zet de bruine bonen in water, zodat ze zacht kunnen worden.|Poti a broinbontyi ini watra meki a kon safu.
2484|Deze hond is agressief. Maak geen grappen met hem.|A dagu disi krasi. No meki grap nanga en.
124|Dan vraagt de politie aan jou welke volwassene ze kunnen bellen.|Dan skowtu sa aksi yu sortu tra sma fu yu den kan kari, a mus' de wan bigisma.
3613|De man waar ik eerst gewerkt heb was niet goedgeefs.|A man pe mi ben wroko fosi ben sroiti.
1822|Je moet niet opscheppen omdat het jaloersheid opwekt.|Yu no mus meki bigi gi yusrefi bika dati e tyari dyarusu kon.
1298|Deze man is zo groot als een olifant.|A man disi bigi leki asaw.
4040|Ik heb de hele dag gewerkt. Ik ben moe!|Heri dei mi e wroko. Mi weri!
744|Nou, zo prikte de oude de man ook met een naald.|We, na so a granmasra boro en finga nanga wan nanai.
429|Ik had niets om op te staan.|Mi futu no abi no wan presi fu ori.
2574|Pak je biezen en ga weg.|Teki yu lai dan yu e gwe.
2170|Deze man heeft geld maar hij is te gierig om zijn eigen moeder te helpen.|A man disi abi moni ma a gridi tumsi fu yepi en eigi m'ma.
2740|Het leek erop dat ze prettig met elkaar leefden.|A sori leki den ben e libi switi nanga makandra.
2506|Ik kan niet tegen het gerinkel van deze telefoon.|Mi no man nanga a krinkrin fu a telefoon disi.
3064|De moeder vergaf het kind het kwade dat ze gedaan had.|A mama gi a pikin pardon fu den ogri san a ben du.
1514|Iemand die je overal tegenkomt, kent zeker veel mensen.|Wan boroman mus fu sabi furu sma.
865|Anansi ging met twee zakken geld weg.|Anansi gwe nanga a di fu tu saka moni.
1018|Hij zal niet lang meer hier in dit bos blijven.|A no sa tan moro na ini a busi disi.
387|De Chinees werd Bigi Tifi genoemd omdat hij grote voortanden had.|A omu sneisi a ben nen Bigi Tifi bika en tifi ben bigi.
30|Uw Nederlandse advocaat kan u hierbij helpen.|Yu afkati fu Holand kan yepi yu nanga disi.
3502|Zij heeft zoveel geld dat ze niet weet wat ze ermee moet doen.|A abi someni moni, tak' a no sabi san a mus du nanga en.
203|Hij of zij mag bij je komen zitten, maar mag zelf niets zeggen.|A mag fu kon sidon nanga yu, ma noti ensrefi no mag fu taki.
3656|De vlag van Suriname heeft twee witte strepen.|A fraga fu Sranan abi tu weti strepi.
4000|De politie heeft de mensen gewaarschuwd om niet daar in die straat te rijden.|Skowtu warskow den sma fu den no rei tapu a pasi dape.
3211|Iedereen weet dat Ba Sjori door hekserij zijn baan kwijt is.|Ala sma sabi tak' na prei den prei Ba Syori meki a lasi a wroko.
4101|Luisteraars, ik zal u een verhaal uit de oude doos vertellen. Luistert u goed!|Arkiman, mi o ferteri unu wan fosten tori. Un kaka yesi, arki.
3653|Ik wed met je dat Robinhood zal winnen.|Mi e strei anga yu taki Robinhood o wini.
2059|Je moet het werk op een verantwoordelijke manier doen.|Yu mus du a wroko tapu wan frantwortu fasi.
3522|Hoeveel soorten vruchtbomen zijn op het erf?|Omeni sortu froktubon de tapu a dyari?
478|Het was een grote societeit waar vooral de directeuren kaarten, want ze zetten grote bedragen in.|Ma disi ben de wan bigi koleisi, pe moro furu fu den bigi driktoro e go prei karta, bikasi den ben e poti furu moni.
1907|Nadat de dokter mijn bloeddruk gemeten had, zei hij me dat ik geen korrel zout mocht gebruiken.|Di datra marki mi brudu, a taigi mi tak' mi no mus fasi no wan dropu sowtu.
2457|De politie heeft twee mannen gebracht die getuigen dat ze gezien hebben dat deze hond de vrouw heeft laten vallen. Maar een van de getuigen zat achterin te eten toen het voorval gebeurde.|Skowtu tyari tu man kon di e kotoigi tak' den si tak' na a dagu disi meki a frow fadon. Ma wan fu den kotoigi ben de bakasei e nyan di a sani psa.
443|Als die man er niet was geweest was ik beslist dood gegaan.|Efu a man no ben kon, mi bo tan dape te mi dede.
1185|Toen zei de koning: Nou, goed, je hebt de naam geraden, maar je moet het niemand zeggen hoor.|We, a bun, u rai bun, ma yu no mu ferteri no wan enkri tra sma.
2949|De jongen weet zijn neus nog niet te snuiten.|A boi no sabi fu bro en noso ete.
809|Hij steunde zijn hoofd op z'n hand en dacht diep na.|A poti en anu na en ede, a prakseri sote.
192|Filmen of opnemen van het verhoor|Ma efu na tumsi furu leysi yu o aksi fu un tu w'wan kan taki, skowtu kan kon taigi yu 'no-no'.
567|Dus hielpen de kinderen haar zoveel mogelijk.|Den pikin, den ben yepi den mama someni leki den kan.
2749|Op de manier zoals de gekke met een houwer loopt te zwaaien kan hij iemand vreselijk verwonden.|Fa a lawman e waka e swai nanga a owru, a kan gi sma mama mankeri!
1029|Het konijn is advocaat.|Konkoni kon afkati.
6|Hoe verloopt de procedure na uw aanhouding en wat zijn uw rechten|Fa a sani e waka baka skowtu hori yu en san na yu leti
439|Hij klom met zijn schoenen aan vlug in de boom.|A man dati kren kon ini a bon so nanga en susu nanga en pakt.
289|Dan kon je met een drilstok je koek drillen.|Dan yu e teki a prapi nanga wan driltiki.
3169|Het is gevaarlijk om bedorven vlees te eten.|A no bun fu nyan pori meti.
3764|Mijn broer keerde niet terug naar Suriname omdat hij een goede verblijfplaats in Nederland heeft gevonden.|Mi brada no drai kon baka na Sranan bika a feni wan bun tanpresi na Ptata.
680|Ik zag dat je het niet zo goed vond.|Mi ben si na yu fesi taki yu no ben feni en bun.
3549|De wedstrijd van gisteren was spannend.|A plei fu esde ben span.
2083|Hij heeft een zware verkoudheid opgelopen.|Wan hebi frikowtu naki en.
4007|Heb je gehoord hoe de vrouw die man uitschold?|I yere fa a frow was' go gi a man?
2298|Deze man is net een strovuur. Hij wordt snel boos, maar is ook snel afgekoeld.|A man disi na karuw'wiri faya. Es'esi en ati e teki faya, ma es'esi a e kowru baka.
3082|Ik ben naar geen enkele plaats geweest.|Mi no go no wan pe.
3580|Het is niet goed met God te spotten.|A no bun fu spotu nanga Gado.
3626|Het bedrijf is op zoek naar enkele potige jonge mannen voor magazijn werkzaamheden.|A wrokopresi e suku wantu steifi yong' boi fu wroko ini a maksin.
1108|Anansi riep Akoeba.|Anansi kari Akuba.
194|Bijvoorbeeld als het om ernstige strafbare feiten gaat waarbij iemand zwaargewond is geraakt.|Sonten skowtu sa abi fu mek' wan film noso wan banti fu a taki nanga yu, nanga wan camera noso wan microfoon.
450|'t Werd Huize Juda genoemd.|Den ben kari en Yuda Oso.
3801|Ik neem niemand met me mee.|Mi no e tyari no wan tere na mi baka.
2857|Nadat hij zijn zegje gedaan had, ging hij weer zitten.|Di a kba taki wan mofo, a saka sidon baka.
29|"U bent er vervolgens zelf verantwoordelijk voor om met die ""tweede advocaat"" contact op te nemen."|"Dan yu srefi o abi fu taki nanga a ""tu den wan afkati."""
3380|Je hebt de wedstrijd verkocht!|Yu seri a plei!
2354|Het vliegtuig is nog niet aangekomen.|A kisi no kon ete.
879|Met één slag kan je mij doden.|Wan enkri futu fu yu kan naki mi kiri.
3299|Een moeder koestert haar kinderen.|Wan mama ati safu gi en pikin.
2228|Sommige mensen houden ervan om met gewichtige woorden te spreken. Dit maakt dat niet iedereen ze begrijpt.|Son sma lobi fu taki nanga heihei wortu. Disi e meki tak' ala sma no man grabu san den e taki.
1260|Het Presidentieel paleis bezoeken is geen dagelijkse gebeurtenis.|A no wan aladei sani fu go na President oso.
3071|Als hij me ziet, gaat hij me uit de weg.|Te a si mi, a e koti pasi gi mi.
812|Ik zal voor geld zorgen.|Mi e kon nanga moni.
1242|Kijk me niet met zulke grote ogen aan!|No piri yu ai so gi mi!
3838|Haal een stoel voor me. Ik kan niet langer staan.|Teki wan sturu gi mi. Mi no man tnapu moro.
1670|Het dagloon van Savitri is niet genoeg om haar kinderen te voeden.|A deimoni san Savitri e kisi no sari fu gi den pikin fu en nyanyan.
1436|Verveel me niet anders zal ik je een stomp in je buik geven.|No ferferi mi noso mi o naki yu wan berekofu.
1413|Het is een nieuwsgierig kind. Ze zit de hele dag op de schutting te kijken wat er in buurvrouws erf gebeurt.|Na wan bemui pikin. Heri dei a e sidon tapu a skotu e luku san e psa ini birfrow dyari.
222|Na een verschil van mening met zijn werkgever, vertrok hij naar Nederland waar hij de MO-akte Staatsinrichting (1950), de MO-akte Geschiedenis (1953) behaalde en de module Internationale Betrekkingen volgde aan de Universiteit van Amsterdam|Fu di a no ben man kruderi nanga sani di ben psa na ini en wroko, a saka go libi na Ptatakondre pe a teki en MO-Staatsinrichting (1950) nanga MO-Geschiedenis (1953) dan a stuka pisi fu Internationale Betrekkingen na Universiteit van Amsterdam.
2460|Toen hij aan het werk kwam, was hij boos. Maar nadat hij met de baas gesproken had, ging hij met een gerust hart weg.|Di a kon na wroko, en ati ben bron. Ma baka di a taki nanga a basi, a gwe nanga kowru-ati.
755|Wanneer de man naar de oever ging, ging hij alleen en kocht hij wat voor hem en zin vrouw om te eten.|Te den ben go na syoro fu bai sani fu nyan, dan a man wawan e go.
573|U begrijpt dat het leven niet helemaal gelukkig was.|Yu srefi kan ferstan taki a libi no ben kan de prisiri, kwetkweti.
3363|Sheila kan niet zitten zonder met haar benen te schudden.|Sheila no man sidon sondro a no seki en futu.
3509|Elke dag zorgt Hettie voor de koffie.|Ala dei Hettie e sorgu taki a kofi de klari.
2113|Deze boodschap is voornamelijk voor de mensen die te Abrabroki wonen.|A boskopu disi na funamku gi den sma di e libi na Abrabroki.
2381|A: Rara, wie gaat winnen? B: Transvaal.|A: Kofu kofu, suma o wini? B: Transvaal.
1786|Als je in de rivier zwemt, trekt de stroom je mee.|Te yu e swen ini a liba, a watra e dribi yu tya gwe.
2804|Zie je de soft daar in de ijskast? Raak hem niet aan!|Yu si a soft ini a ijskasi? No meri en!
80|niet de rechter, maar de officier van justitie beslist over uw overlevering;|no a krutuman, ma a bigiman fu skowtu o teki wan bosroiti abra a du taki den man o lever yu uit;
257|In 2015 ontving hij de CUS Excellence Award.|Na ini 2015 a kisi a CUS Excellence Award.
295|Je neemt een beboterd bakblik en je schenkt alles erin.|Dan yu e botro yu blik. Te yu du dati dan yu e kanti a kuku go na ini a blik.
2402|Hoe laat moet ik van huis vertrekken?|O lati mi mu kmopo fu oso?
3500|Zoals ik de tafel heb gedekt, zo moet je hem ook dekken.|Soleki fa mi ben seti a tafra, na so yu mus seti en.
1741|Het hemd is een beetje vuil, maar ik kan het nog dragen.|A empi dot'doti pikinso, ma mi kan weri en ete.
1123|Koning, ik vezoek u, mag ik oogsten op uw perceel?|Mi kownu, mi kon begi yu, mi no kan puru wan pikin nyanyan na yu gron?
2171|Eet niet als Meneer de Gulzigaard!|No nyan leki Ba Gridi!
3101|Als de kinderen vier jaar oud zijn, moeten ze naar school.|Te den pikin tapu fo yari, den mus fu go na skoro.
2627|Ze houdt van haar als haar eigen kind.|A lobi en leki en eigi pikin.
2726|De poes loert op de muis.|A puspusi e luru a moismoisi.
2124|Sommige mensen hebben een treef, ze mogen niets eten dat door een menstruerende vrouw klaargemaakt is.|Son sma abi a trefu tak' den no man nyan futuman nyanyan.
734|Ik wil m'n vrouw terug.|Mi wani a uma baka.
2092|De zaak was ingewikkeld, daarom duurde het zo lang voordat de politie hem kon oplossen.|A tori ben fromu, dat' meki skowtu teki so langa fu tyari en kon na krin.
2965|De vruchten zijn kleintjes uitgevallen dit jaar. Ze zijn niet zo groot als vorig jaar.|Den froktu nyoni a yari disi. Den no bigi leki a yari di psa.
1204|Als je over wilt gaan moet je je lessen leren.|Efu yu wani abra, yu mu leri yu les.
4016|Is de tajer al goed ingedroogd?|A taya hari watra kba?
1612|Voordat ik de hoek bereikt had, was de bus al voorbij geraasd.|Fosi mi doro a uku, a bus ben buku psa kba.
1084|Sindsdien zijn tijger en aap vijanden van elkaar.|Èn na so, te nanga a dei fu tide, Tigri nanga Monki na feyanti.
2920|Mijn hemd is nat; ik kan het niet dragen.|A empi fu mi nati; mi no man weri en.
1476|Je heb niets hier te zoeken. Je moet weggaan!|I no abi bisi dya. I mu gwe!
1947|Het bus probleem is vervelend geworden.|A bus problema kon ferferi kba.
654|Thuis kan ik haar niet helpen.|Na oso mi no kan yepi en.
1398|Luister, morgen moet je niet komen.|Baya, tamara yu no mu kon.
1564|De hele dag door werkt Glen aan zijn kapotte auto.|Heri dei langa Glen e wroko tapu a broko oto fu en.
2222|Ze hebben het huis verhoogd zodat het bij regen niet onder water loopt.|Den hei a oso meki a no sungu te alen kon.
2289|Hij heeft me een uitnodiging gestuurd, om zijn huwelijk bij te wonen.|A seni wan kari fu mi kon na en trow-oso.
411|Die boom was erg groot en had veel vruchten.|A bon ben bigi srefsrefi en a ben meki furu froktu.
2325|Fred heeft lange tijd geld gespaard totdat hij de fiets kon kopen.|Fred kibri moni wan langa pis'ten te leki a ben kan bai a baisigri.
3689|Hij heeft een zwakte voor alcohol dat hem telkens weer in problemen brengt.|A abi wan swaki gi sopi san e poti en ala yuru na problema.
1729|Toen de man hem gestoken had, kwamen zijn ingewanden naar buiten.|Di a man dyuku en dan ala en bere kon na doro.
1533|Ik reken op je, dat je me morgenochtend komt halen.|Mi e bow tapu yu tak' yu o kon teki mi tamara mamanten.
4003|Ik ben niet waardig om zo'n eer te ontvangen.|Mi no warti fu kisi so wan grani.
964|Als je meer wilt, kun je in de boom klimmen om ze te plukken.|Efu yu wani moro yu mu kren na ini a bon fu piki den.
2440|Wacht, ik moet even hoesten.|Ai, wakti. Mi mu koso even.
657|De kinderen verhuisden naar het huis van de dame.|Den pikin go na a frow oso.
1844|Waarom kan dat kind van jou 's avonds niet slapen? Het komt omdat ze de hele dag zo onrustig is.|Fu sanede a pikin fu yu no kan sribi na neti? Bika heri dei a e dyugudyugu so.
3161|Kijk, je band is zacht. Ga het oppompen bij de Esso.|Luku, a banti fu yu plata. Tyari en go pompu na Esso.
3832|Het besturen van Suriname is in handen van het Nieuw Front.|A tiri fu Sranan de na anu fu Nieuw Front.
1231|De rook liet mijn ogen tranen.|A smoko meki mi ai lon watra.
816|Ik ga geen bank beroven.|Mi no o go broko bangi.
810|Hij zei: Ja, Akoeba, ik heb een idee.|A taki: Ai, Akuba, mi feni en.
152|Ken je zelf een advocaat en wil je dat deze advocaat komt?|Yu srefi sabi wan afkati di yu wani fu a kon?
3655|Hij trok een lijn in het zand.|A hari wan strepi ini a santi.
1840|Wissel geen geld bij die bedriegelijke jongens op straat.|Yu no mu broko moni na den dyote boi na strati.
1873|De chinees heeft suiker gekregen! Ga vlug twee pakken voor me kopen!|Omu kisi sukru! Go es'esi go bai tu paki gi mi!
102|Uw kind wordt verdacht van een strafbaar feit.|Efu skowtu sen' kari wan afkati gi yu, den sa gi yu nen, pe yu e libi, oten yu gebore nanga tra prenspari sani fu yu, na a presi den e kari 'Raad voor Rechtsbijstand'.
2168|Zet de deur op de grendel zodat hij niet open waait.|Greni a doro fu a no wai opo.
817|Maar ik zal wel geld vinden.|Ma mi o feni moni.
239|"Door zijn overgrootmoeder Paulina Meintje Wouter werd hij ingewijd in de Afro-Surinaamse tradities; zijn ""onthouvermogen"" zoals hij zijn uitstekend geheugen noemde, kwam hem daarbij goed van pas."|En afo Paulina Meintye Wouter abra den owru Afrikan Sranan sabi gi en. Taki a ben hori den sabi disi na ede, ben de wan Gado-gi sani. Ensrefi ben kari dati 'onthouvermogen'.
3607|Sinds hij aangereden is, trekt hij met zijn ene been.|Sensi di a wagi naki en, a e srepi en wan sei futu.
2820|Mijn band is net aan de middenkant geboord.|A banti fu mi boro let' na mindrisei.
108|Je gaat naar een hulpofficier van justitie, een baas bij de politie.|Efu yu wan' sabi moro ete yu kan go na www.yuridischloket.nl, noso yu e naki wan gengen go na 0900-8020 (€ 0,25 wan minuut)
1878|Wat gaan we nu doen?|Fa wi e go du now?
3623|Stamp niet zo op de trap!|No stampu so tapu a trapu!
3957|Vandaag heb ik mijn tante gezien in een bus en ze zwaaide naar me.|Tide mi si mi tanta ini wan bus, dan a wai anu gi mi.
3377|Uit zenuwachtigheid kon de jongen de politie agent niet antwoorden.|Na senwe meki a boi no man piki a skowtu.
3734|Je kan aan zijn manier van spreken aanvoelen dat hij veranderingen voorstaat.|Na a taki fu en yu kan tesi tak' a man disi wani meki kenki kon.
2611|Een verloochening is pijnlijker dan een zeer.|Lei hati moro soro.
1003|De aap is ook klein.|Monki na wan pikin meti tu.
2998|Ik heb door ondervinding geleerd om niet te roken.|Mi leri ondrofeni fu no smoko.
2732|Vandaag kan ik je niet helpen werken, maar morgen wel.|Tide mi no man yepi yu nanga wroko, ma tamara mi man.
3935|De krankzinigen blijven in LPI.|Den tyepi sma e tan na LPI.
332|Vroeger was Livorno een buitenplaats.|Livorno ben de wan boiti fosi.
807|Ja, maar wanneer je geld hebt geleend, dan moet je het terug betalen.|Ai, ma te yu leni moni, yu mu gi baka.
2618|Telkens als ik eten heb gekocht aan de waterkant, krijg ik buikpijn.|Ala leisi te mi e nyan na watrasei, mi e kisi bere-ati.
2483|Het puistje jeukt me.|A poisi e krasi mi.
1784|Als je de wond niet behandeld zal het erger worden.|Efu yu no dresi a soro, a o kon moro ogri.
1833|Alle kinderen mogen bij mij blijven behalve die van John. Die is te onrustig.|Ala pikin kan tan na mi boiti a wan fu Yohn. A dati dyompodyompo tumsi.
2458|Zet de airco af. Ik kan de kou niet meer verdragen.|Kiri a airco. Mi no man nanga a kowru moro.
1235|Hij heeft wat alcohol gebruikt, maar hij is nog nuchter.|A dringi pikin sopi ma en ai krin ete.
1991|Voordat de kinderen repetitie maken, laat de juffrouw een van de jongens alles van het bord wegwissen.|Fosi den pikin e meki rep, dan ifrow e meki wan fu den boi figi ala sani puru fu a bord.
1128|Ik zal het proberen te raden.|Mi sa rai.
2117|Ze moesten het been vlak onder de knie amputeren.|Den ben mu koti a futu let' ondro a kindi.
2778|Hij nam blom, kneedde het, en bakte er brood van.|A teki blon, a masi en, dan a baka brede.
1113|Er moeten voldoende lappen zijn zodat de koning niet ziet hoe groot ik ben.|A krosi mu furu so dati a kownu no kan si fa mi bigi.
3016|Kijk hoe dat koren zo mooi spruit.|Luku fa a karu e opo so moi.
2023|Toen de auto die jongen had aangereden, lag hij een uur bewusteloos.|Di a wagi naki a boi, a ben didon flaw wan yuru langa.
2370|Ik zit hier al lang gereed op je te wachten.|Someni langa mi sidon klar'klari dya e wakti yu.
1178|Koning, eens hoorde ik een anansiverhaal en in dat verhaal heette de koning Willem.|Kownu, wan leisi mi yere wan anansitori, na ini a tori dati, a kownu ben nen Willem.
2383|Toen ik op de man zijn voet trapte, gaf hij mij een stomp.|Di mi trapu tapu a man futu, a naki mi wan kofu.
1450|In de ochtend uren hebben we niets verkocht, maar nu gaat het beter.|Mamanten un no ben seri noti, ma now a e go moro betre.
3968|Het horloge tikt.|A oloisi e waka.
3544|Ik speel niet graag voor geld omdat ik weet dat ik geen geluk heb.|Mi no lobi prei fu moni fu di mi sabi taki mi sowtu.
2683|Ik heb het lef niet om een levende tijger aan te raken.|Mi no abi dek'ati fu fasi wan libilibi tigri.
554|Deze mensen waren arm, maar toch gelukkig.|Den sma e libi poti fasi, ma tog den ben de koloku.
1320|Wacht tegen acht uur op me. Ook in geval ik er nog niet ben, moeten jullie op me blijven wachten.|Un wakti mi aiti yuru. Awinsi mi no doro ete, un mu tan wakti mi.
3860|Ijzer is sterk, maar water laat het roesten.|Isri tranga, ma watra e frustu en.
1405|Alleen gebed kan in deze situatie helpen.|Na begi wawan kan yepi ini a tori disi.
3311|Praat niet zo hard! Praat wat zachter.|No taki so tranga! Saka yu sten pikinso.
2011|Toen we hem een paar dagen niet gezien hadden, gingen we hem bezoeken.|Di un no si en wantu dei, un go fisiti en.
